tws,twa,boat_speed
6,30,2.80
6,35,3.25
6,40,3.68
6,45,4.09
6,50,4.44
6,55,4.71
6,60,4.90
6,65,5.03
6,70,5.11
6,75,5.16
6,80,5.20
6,85,5.22
6,90,5.24
6,95,5.24
6,100,5.22
6,105,5.16
6,110,5.08
6,115,4.97
6,120,4.82
6,125,4.64
6,130,4.43
6,135,4.20
6,140,3.95
6,145,3.71
6,150,3.51
6,155,3.30
6,160,3.08
6,165,2.88
6,170,2.71
6,175,2.57
6,180,2.50
8,30,3.53
8,35,4.06
8,40,4.53
8,45,4.94
8,50,5.23
8,55,5.43
8,60,5.58
8,65,5.69
8,70,5.77
8,75,5.81
8,80,5.85
8,85,5.88
8,90,5.91
8,95,5.93
8,100,5.91
8,105,5.88
8,110,5.81
8,115,5.72
8,120,5.61
8,125,5.49
8,130,5.35
8,135,5.18
8,140,4.97
8,145,4.75
8,150,4.52
8,155,4.29
8,160,4.07
8,165,3.86
8,170,3.69
8,175,3.57
8,180,3.50
10,30,3.99
10,35,4.55
10,40,5.04
10,45,5.42
10,50,5.71
10,55,5.90
10,60,6.03
10,65,6.12
10,70,6.19
10,75,6.24
10,80,6.28
10,85,6.30
10,90,6.32
10,95,6.32
10,100,6.31
10,105,6.29
10,110,6.25
10,115,6.20
10,120,6.13
10,125,6.05
10,130,5.94
10,135,5.80
10,140,5.64
10,145,5.47
10,150,5.29
10,155,5.11
10,160,4.95
10,165,4.78
10,170,4.62
10,175,4.48
10,180,4.40
12,30,4.28
12,35,4.86
12,40,5.36
12,45,5.74
12,50,6.00
12,55,6.18
12,60,6.29
12,65,6.39
12,70,6.49
12,75,6.57
12,80,6.64
12,85,6.69
12,90,6.72
12,95,6.73
12,100,6.72
12,105,6.69
12,110,6.64
12,115,6.57
12,120,6.49
12,125,6.41
12,130,6.32
12,135,6.22
12,140,6.11
12,145,5.98
12,150,5.85
12,155,5.71
12,160,5.57
12,165,5.44
12,170,5.33
12,175,5.20
12,180,5.10
14,30,4.51
14,35,5.11
14,40,5.60
14,45,5.94
14,50,6.16
14,55,6.33
14,60,6.49
14,65,6.63
14,70,6.74
14,75,6.83
14,80,6.91
14,85,6.98
14,90,7.05
14,95,7.10
14,100,7.12
14,105,7.11
14,110,7.07
14,115,7.00
14,120,6.91
14,125,6.80
14,130,6.69
14,135,6.57
14,140,6.45
14,145,6.34
14,150,6.23
14,155,6.13
14,160,6.03
14,165,5.94
14,170,5.86
14,175,5.78
14,180,5.70
16,30,4.69
16,35,5.29
16,40,5.76
16,45,6.07
16,50,6.27
16,55,6.44
16,60,6.63
16,65,6.80
16,70,6.95
16,75,7.09
16,80,7.22
16,85,7.35
16,90,7.48
16,95,7.58
16,100,7.63
16,105,7.63
16,110,7.58
16,115,7.48
16,120,7.36
16,125,7.23
16,130,7.10
16,135,6.96
16,140,6.82
16,145,6.69
16,150,6.56
16,155,6.46
16,160,6.36
16,165,6.28
16,170,6.22
16,175,6.17
16,180,6.14
20,30,4.87
20,35,5.47
20,40,5.92
20,45,6.20
20,50,6.40
20,55,6.58
20,60,6.80
20,65,7.00
20,70,7.17
20,75,7.33
20,80,7.48
20,85,7.62
20,90,7.75
20,95,7.88
20,100,8.05
20,105,8.23
20,110,8.45
20,115,8.66
20,120,8.69
20,125,8.50
20,130,8.19
20,135,7.90
20,140,7.67
20,145,7.48
20,150,7.33
20,155,7.20
20,160,7.08
20,165,6.97
20,170,6.89
20,175,6.82
20,180,6.79
