acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;LIGHT;mag_x;mag_y;mag_z;azimuth;pitch;roll;proximity;pressure;sound;lat;lon;altitude;alt_google;loc_alt_pres;speed_kmh;accuracy;loc_orientation;sats_in_range;lapsed;datetime
-0.848;2.41;9.198;-0.65;2.557;9.445;-0.079;-0.236;-0.001;0.012;-0.19;-0.017;3273.0;3.5;3.4;-52.5;4.2;-15.0;4.6;2.0;1022.6;49.05;;;;NaN;;;;;0 / 21;6;2015-07-28 17:29:21:798
-1.063;1.819;10.203;-0.991;1.867;9.576;0.164;0.047;0.456;-0.118;0.129;-0.02;2997.0;-1.5;3.9;-52.8;23.0;-12.1;4.7;2.0;1023.1;46.56;;;;NaN;;;;;0 / 21;1007;2015-07-28 17:29:22:799
-3.302;-2.202;6.363;1.157;0.669;9.715;-4.385;-2.611;1.481;-1.054;-2.007;-0.881;761.0;-0.9;-5.4;-50.7;25.7;-14.7;3.2;2.0;1023.0;52.29;47.60074;-122.28263;-48.4;NaN;;7.0;29.03226;71.3;9 / 21;2007;2015-07-28 17:29:23:799
-1.378;0.276;9.263;-0.021;-0.496;9.794;-0.839;0.397;-0.284;-0.022;-0.037;0.476;341.0;-11.0;12.9;-50.1;46.7;2.9;0.1;2.0;1023.7;67.04;47.60076;-122.2826;-45.2;NaN;;8.1;16.12903;71.9;13 / 21;3007;2015-07-28 17:29:24:799
-0.805;0.271;9.086;-0.622;0.048;9.787;-0.236;0.23;-0.463;0.025;-0.028;-0.009;421.0;-8.7;13.0;-50.8;42.7;-0.3;3.6;2.0;1022.1;54.69;47.60074;-122.2826;-38.7;NaN;;6.2;12.90323;80.3;13 / 22;4007;2015-07-28 17:29:25:799
-0.727;0.227;9.666;-0.648;0.176;9.784;-0.114;0.04;-0.156;0.008;-0.025;-0.046;420.0;-9.4;12.5;-51.2;43.8;-1.0;3.8;2.0;1022.1;61.12;47.60073;-122.28259;-35.5;NaN;;5.9;9.67742;82.2;15 / 23;5007;2015-07-28 17:29:26:799
-0.344;0.211;9.116;-0.646;0.17;9.784;0.215;0.016;-0.294;0.05;0.019;0.01;363.0;-10.8;12.6;-50.8;45.9;-1.0;3.8;2.0;1022.2;58.08;47.60073;-122.28259;-35.5;NaN;;5.9;9.67742;82.2;15 / 24;6007;2015-07-28 17:29:27:799
-1.16;0.153;9.934;-0.853;0.089;9.769;-0.301;0.117;0.36;-0.04;-0.032;0.011;513.0;-10.1;12.1;-51.2;48.8;-0.6;4.9;2.0;1022.4;64.47;47.60073;-122.28255;-38.7;NaN;;6.0;9.67742;84.6;15 / 24;7006;2015-07-28 17:29:28:798
-0.482;0.15;9.459;-0.627;0.216;9.784;0.254;-0.073;-0.033;0.041;0.062;-0.001;576.0;-10.7;12.9;-50.9;45.5;-1.1;3.6;2.0;1022.4;58.64;47.60073;-122.28253;-41.9;NaN;;6.2;9.67742;84.0;15 / 24;8007;2015-07-28 17:29:29:799
-0.746;0.097;9.847;-0.785;0.064;9.775;0.012;0.022;0.133;-0.019;-0.065;0.014;669.0;-9.3;12.7;-51.5;45.5;-0.4;5.1;2.0;1022.5;64.62;47.60074;-122.28251;-41.9;NaN;;6.1;9.67742;83.6;15 / 24;9007;2015-07-28 17:29:30:799
-0.554;0.177;9.563;-0.659;0.264;9.781;0.03;-0.054;0.052;0.007;0.032;0.026;631.0;-10.4;12.3;-51.1;45.1;-1.5;3.9;2.0;1022.4;53.96;47.60074;-122.28249;-45.2;NaN;;6.2;9.67742;80.7;15 / 24;10007;2015-07-28 17:29:31:799
-1.166;0.182;9.395;-0.87;0.082;9.768;-0.366;0.13;-0.094;-0.025;-0.003;0.0;593.0;-9.7;13.3;-51.1;47.2;-0.5;5.1;2.0;1022.5;67.65;47.60074;-122.28247;-45.2;NaN;;6.1;9.67742;80.6;15 / 24;11006;2015-07-28 17:29:32:798
