year,month,day,hod,temp,pressure,direction,dirfixed,speed
2015,7,28,16.0,76.0,30.1,343.0,343.0,10.9
2015,7,28,16.016666666666666,76.0,30.1,331.0,331.0,11.5
2015,7,28,16.033333333333335,76.1,30.1,339.0,339.0,13.3
2015,7,28,16.05,76.1,30.1,346.0,346.0,13.0
2015,7,28,16.066666666666666,76.2,30.1,333.0,333.0,13.4
2015,7,28,16.083333333333332,76.2,30.1,333.0,333.0,15.2
2015,7,28,16.1,76.1,30.1,336.0,336.0,11.7
2015,7,28,16.116666666666667,76.2,30.1,338.0,338.0,14.1
2015,7,28,16.133333333333333,76.2,30.1,331.0,331.0,13.2
2015,7,28,16.15,76.1,30.1,337.0,337.0,15.6
2015,7,28,16.166666666666668,76.1,30.1,334.0,334.0,16.3
2015,7,28,16.283333333333335,76.2,30.1,336.0,336.0,13.6
2015,7,28,16.3,76.3,30.1,341.0,341.0,13.0
2015,7,28,16.316666666666666,76.3,30.1,334.0,334.0,11.0
2015,7,28,16.333333333333332,76.4,30.1,324.0,324.0,11.3
2015,7,28,16.35,76.3,30.1,334.0,334.0,10.3
2015,7,28,16.366666666666667,76.3,30.1,340.0,340.0,11.0
2015,7,28,16.383333333333333,76.4,30.1,330.0,330.0,11.8
2015,7,28,16.4,76.4,30.1,334.0,334.0,11.0
2015,7,28,16.416666666666668,76.5,30.1,337.0,337.0,10.3
2015,7,28,16.433333333333334,76.6,30.1,334.0,334.0,10.3
2015,7,28,16.45,76.5,30.1,337.0,337.0,13.4
2015,7,28,16.466666666666665,76.5,30.1,340.0,340.0,11.1
2015,7,28,16.483333333333334,76.7,30.1,323.0,323.0,7.9
2015,7,28,16.5,76.7,30.1,327.0,327.0,12.0
2015,7,28,16.516666666666666,76.6,30.1,333.0,333.0,12.2
2015,7,28,16.533333333333335,76.5,30.1,323.0,323.0,12.5
2015,7,28,16.55,76.5,30.1,324.0,324.0,12.5
2015,7,28,16.566666666666666,76.5,30.1,328.0,328.0,11.8
2015,7,28,16.583333333333332,76.6,30.1,339.0,339.0,10.7
2015,7,28,16.6,76.6,30.1,332.0,332.0,12.7
2015,7,28,16.616666666666667,76.6,30.1,337.0,337.0,9.7
2015,7,28,16.633333333333333,76.7,30.1,336.0,336.0,11.4
2015,7,28,16.65,76.6,30.1,330.0,330.0,11.2
2015,7,28,16.666666666666668,76.6,30.1,335.0,335.0,11.3
2015,7,28,16.683333333333334,76.6,30.1,325.0,325.0,11.7
2015,7,28,16.7,76.6,30.1,337.0,337.0,11.2
